ID,USE,ACCESS_TIME,ACCESS_DISTANCE,EGRESS_DISTANCE,EGRESS_TIME,ALT1,ALT2,ALT3,ALT4,WB,AGE,GENDER,UNO,SERO,VEHICLE
1,4,1.7999999999999998,0.36,1.0799999999999998,5.399999999999999,0,0,0,1,0,40.0,0,1,0,0
2,3,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,1,0,0,40.0,1,1,0,1
3,4,1.7999999999999998,0.36,0.144,0.7199999999999999,0,0,0,1,0,22.0,0,1,0,1
6,3,1.7999999999999998,0.36,0.72,3.5999999999999996,0,0,1,0,1,22.0,1,1,0,1
11,3,3.5999999999999996,0.72,0.21599999999999997,1.0799999999999998,0,0,1,0,0,30.0,0,1,0,1
12,4,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,0,1,0,22.0,1,1,0,0
14,3,5.399999999999999,1.0799999999999998,0.36,1.7999999999999998,0,0,1,0,0,22.0,1,1,0,1
20,4,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,0,1,0,22.0,0,1,0,0
21,4,5.399999999999999,1.0799999999999998,0.36,1.7999999999999998,0,0,0,1,0,30.0,0,1,0,1
25,4,3.5999999999999996,0.72,0.36,1.7999999999999998,0,0,0,1,0,30.0,0,1,0,1
27,3,3.5999999999999996,0.72,0.72,3.5999999999999996,0,0,1,0,0,22.0,1,1,0,1
30,4,0.7199999999999999,0.144,0.36,1.7999999999999998,0,0,0,1,1,22.0,1,1,0,1
31,3,3.5999999999999996,0.72,0.72,3.5999999999999996,0,0,1,0,0,22.0,1,1,0,1
32,4,5.399999999999999,1.0799999999999998,0.36,1.7999999999999998,0,0,0,1,0,22.0,0,1,0,1
34,4,3.5999999999999996,0.72,0.72,3.5999999999999996,0,0,0,1,1,54.0,1,1,0,1
36,3,3.5999999999999996,0.72,0.72,3.5999999999999996,0,0,1,0,0,22.0,0,1,0,1
37,3,1.7999999999999998,0.36,1.7999999999999998,8.999999999999998,0,0,1,0,0,30.0,0,1,0,0
38,1,13.35,2.67,0.144,0.7199999999999999,1,0,0,0,0,22.0,0,1,0,0
39,4,0.7199999999999999,0.144,0.144,0.7199999999999999,0,0,0,1,1,30.0,1,1,0,1
41,3,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,1,0,0,40.0,1,1,0,1
42,4,3.5999999999999996,0.72,0.36,1.7999999999999998,0,0,0,1,0,30.0,0,1,0,1
44,4,1.7999999999999998,0.36,0.72,3.5999999999999996,0,0,0,1,0,22.0,0,1,0,0
45,1,7.199999999999999,1.44,0.36,1.7999999999999998,1,0,0,0,0,22.0,0,1,0,0
46,3,1.7999999999999998,0.36,0.21599999999999997,1.0799999999999998,0,0,1,0,1,22.0,0,1,0,0
48,4,1.7999999999999998,0.36,0.21599999999999997,1.0799999999999998,0,0,0,1,1,30.0,0,1,0,0
50,4,1.7999999999999998,0.36,1.0799999999999998,5.399999999999999,0,0,0,1,0,22.0,1,1,0,1
53,4,3.5999999999999996,0.72,0.72,3.5999999999999996,0,0,0,1,0,22.0,1,1,0,0
61,4,1.7999999999999998,0.36,0.144,0.7199999999999999,0,0,0,1,0,22.0,0,1,0,1
64,4,3.2399999999999993,0.6479999999999999,0.144,0.7199999999999999,0,0,0,1,1,22.0,1,1,0,0
68,3,8.999999999999998,1.7999999999999998,1.0799999999999998,5.399999999999999,0,0,1,0,0,22.0,0,1,0,1
71,2,3.5999999999999996,0.72,0.36,1.7999999999999998,0,1,0,0,1,54.0,1,1,0,1
72,3,0.7199999999999999,0.144,2.0,10.0,0,0,1,0,0,22.0,1,1,0,1
73,4,1.7999999999999998,0.36,0.072,0.35999999999999993,0,0,0,1,0,22.0,1,1,0,0
76,3,3.5999999999999996,0.72,0.72,3.5999999999999996,0,0,1,0,0,22.0,0,1,0,1
