,Unnamed: 0,M_ORIGIN,M_DESTINATION,D_LANDMARK,D_TYPE,O_LANDMARK,O_TYPE,START_TIME,TRIP_SEQUENCE,TOTAL_TIME,ACCESS_MODE,ACCESS_TIME,ACCESS_DISTANCE,WT_FS,EGRESS_MODE,EGRESS_TIME,EGRESS_DISTANCE,WT_FIS,BICYCLE_USE,TRANSFER_TIME,WAITING_TIME_SECOND_STOP,PASS,TOTAL_COST,CROWDING,GENDER,S_1,S_2,S_3,AGE,EDUCATION,OCCUPATION,INCOME,CARS,TWO_WHEELER,N_BICYCLES,OTHERS,PARKING,PARK_RENT,PARK,DESTINATION,ORIGIN,TRIP,AGE_C,ACCESS_DIS,EGRESS_DIS,RENT_BICYCLE,MALE,ACCESS_M,EGRESS_M,ACCESS_DIS_B,EGRESS_DIS_B
0,0,Krantivira Sangolli Rayanna Railway Station (purple line),Dasarahalli (green line),Saptagiri medical college ,School,Sangolllii rayanna railway station came from mysore,Home,10:50:00,Metro ,45,Walk ,5,< 0.5 km ,5,Auto Rickshaw ,7,3.5 km to 4 km ,5.0,For egress trip only ,,,Metro card ,70,No crowding  - 50-75% of seats occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,>2 Lakhs,0.0,0,0,0,Not Applicable - because neither ends of my trip is home. .,10,3,3,1,1,1,1,8,2,0,1,5,1,4
1,1,Mahatma Gandhi Road (purple line),Peenya (green line),Peenya,Friend,"Brigade road,mg road",Home,10:30:00,Metro ,15,Walk ,5,< 0.5 km ,2,Dropped-off by friends/others ,7,2 km to 2.5 km ,2.0,For egress trip only ,,,Metro card ,0,No crowding  - 25-50% of seats occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,1.0,2,0,0,"No, I will not use a bicycle. .",10,4,7,1,1,1,1,5,2,0,1,8,1,4
2,2,"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Trinity (purple line),Kotak mahindra bank near trinity metro station ,Work,"Magdi road, near GT mall",Home,10:30:00,Bus + Metro ,60,Walk ,10,0.5 to 1 km ,15,Walk ,2,< 0.5 km ,,For neither access nor egress trips ,5.0,8.0,No ,20,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Employed,,0.0,1,1,0,"No, I will not use a bicycle. .",10,4,2,1,2,1,2,1,4,0,1,1,2,1
3,3,Peenya (green line),Chickpet (green line),Chickpete ,Shopping,"Peenya,HMT police station ",Home,11:30:00,Metro ,45,Auto Rickshaw ,10,4 km to 4.5 km ,10,Walk ,5,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,70,No crowding  - 25-50% of seats occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Graduate,Unemployed,,1.0,1,1,0,"No, I will not use a bicycle. .",10,4,4,1,1,2,9,2,4,0,5,1,5,2
4,4,"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Swami Vivekananda Road (purple line),Byappanahalli new station,Work,Majestic railway station ,Home,10:00:00,Metro ,25,Walk ,5,< 0.5 km ,2,Auto Rickshaw ,5,1 km to 1.5 km ,5.0,For neither access nor egress trips ,,,No ,10,High crowding - All seats AND 50-75% of standing space occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,36-45 yrs ,Graduate,Employed,"25,001 – 50,000",0.0,1,0,0,"No, I will not use a bicycle. .",10,4,2,1,1,3,1,3,4,1,1,5,1,3
5,5,Vijayanagar (purple line),Indiranagar (purple line),Indiranagar ,Social,Basveshwar nagar,Home,11:15:00,Metro ,60,Auto Rickshaw ,15,3.5 km to 4 km ,6,Walk ,10,1 km to 1.5 km ,,For both access and egress trips ,,,No ,35,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Doctorate,Employed,,1.0,1,0,0,"No, I will not use a bicycle. .",10,4,6,1,1,1,8,3,3,1,5,1,4,3
6,6,Peenya (green line),Silk Institute (green line),Silk institute guhantara ,Other,Vidyaranyapura near sambram College ,Home,11:00:00,Metro ,90,Auto Rickshaw ,10,> 5 km ,6,Auto Rickshaw ,17,> 5 km ,7.0,For access trip only ,,,Metro card ,350,No crowding  - Most ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Postgraduate,Employed,"50,001 – 1,00,000",0.0,0,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",10,1,8,1,1,2,11,11,1,0,5,5,5,5
7,7,Baiyappanahalli (purple line),"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Lulu mall,Shopping,"Hormavu, banasvadi",Home,11:30:00,Metro ,60,Auto Rickshaw ,20,> 5 km ,6,Auto Rickshaw ,10,2.5 km to 3 km ,10.0,For both access and egress trips ,,,No ,30,No crowding  - 25-50% of seats occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Employed,>2 Lakhs,3.0,4,2,1,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",10,1,4,1,1,1,11,6,3,1,5,5,5,4
8,8,Baiyappanahalli (purple line),"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Bhalepete circle ,Shopping,Ramamurthy nagar bridge near,Home,12:00:00,Bus + Metro ,60,Walk ,5,< 0.5 km ,7,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,5.0,5.0,No ,30,No crowding  - Most ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,36-45 yrs ,10th,Daily,,0.0,1,0,0,"No, I will not use a bicycle. .",10,4,4,1,2,3,1,2,4,0,1,1,1,2
9,9,Indiranagar (purple line),Goraguntepalya (green line),Jalahalli village,Friend,Indiranagar KODIHALLI village ,Home,11:15:00,Metro ,45,Car ,20,2.5 km to 3 km ,5,Auto Rickshaw ,20,3 km to 3.5 km ,5.0,For neither access nor egress trips ,,,Metro card ,250,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,> 60 yrs ,Graduate,Unemployed,"1,00,001 – 2,00,000",1.0,2,0,0,"No, I will not use a bicycle. .",10,4,7,1,1,5,6,7,4,1,4,5,4,4
