ID,MAX_US,O_LEVEL,OM_LEVEL,A_LEVEL_DIFF,A_SLOPE_TYPE,M_ORIGIN,M_DESTINATION,D_LANDMARK,D_LAT,D_LONG,E_DISTANCE_MAP,E_TIME_MAP,D_TYPE,O_LANDMARK,O_LAT,O_LONG,A_DISTANCE_MAP,A_TIME_MAP,O_TYPE,START_TIME,TRIP_SEQUENCE,TOTAL_TIME,ACCESS_MODE,ACCESS_TIME,ACCESS_DISTANCE,WT_FS,EGRESS_MODE,EGRESS_TIME,EGRESS_DISTANCE,WT_FIS,BICYCLE_USE,TRANSFER_TIME,WAITING_TIME_SECOND_STOP,PASS,TOTAL_COST,CROWDING,GENDER,S_1,S_2,S_3,AGE,EDUCATION,OCCUPATION,INCOME,CARS,TWO_WHEELER,N_BICYCLES,OTHERS,PARKING,PARK_RENT,PARK,DESTINATION,ORIGIN,TRIP,AGE_C,ACCESS_DIS,EGRESS_DIS,RENT_BICYCLE,MALE,ACCESS_M,EGRESS_M,ACCESS_DIS_B,EGRESS_DIS_B,VEHICLE
1544,,929,922,-7,fall,Jayanagar (green line),Vijayanagar (purple line),Near maruthi mandir vijaynagar ,,,,,Other,4th block,12.92595573,77.58347683,0.7,10,Shopping,15:50:00,Metro ,45,Walk ,7,0.5 to 1 km ,8,Walk ,7,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Postgraduate,Employed,,0,0,0,0,"No, I will not use a bicycle. .",5,4,8,4,1,1,2,1,4,0,1,1,2,1,0
1483,,911,918,-7,rise,Trinity (purple line),Mahalakshmi (green line),"Kurubarahalli, sthyanarayana choltry ",,,,,Home,"515 Army Base Workshop, XJC9+4W6, Goutamapuram Rd, Halasuru, Cambridge Layout, Jogupalya, Bengaluru, Karnataka 560007",12.97035446,77.62031009,0.5,8,Work,16:00:00,Metro + Bus ,90,Walk ,15,0.5 to 1 km ,4,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,5,10,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Employed,,1,0,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",5,1,1,2,3,1,2,2,3,0,1,1,2,2,1
144,,914,897,-17,fall,Mantri Square Sampige Road (green line),Indiranagar (purple line),Texas review,12.96531032,77.64318123,1.7,23,Work,8th cross malleshwaram ,12.9990549,77.57303154,1.8,6,Home,11:00:00,Metro ,30,Dropped-off by friends/others ,5,0.5 to 1 km ,10,Walk ,15,1.5 km to 2 km ,,For neither access nor egress trips ,,,No ,30,No crowding  - 50-75% of seats occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Student,,1,1,1,0,0,10,-1,2,1,1,1,2,4,4,0,8,1,2,3,1
602,,906,898,-8,flat,Jalahalli (green line),Baiyappanahalli (purple line),"Kaggadhasapura, chef bakers near",,,,,Home,Acharya institute of management and science ,13.03512038,77.51932888,0.85,12,School,13:30:00,Metro ,70,Walk ,10,0.5 to 1 km ,7,Auto Rickshaw ,10,3 km to 3.5 km ,2,For both access and egress trips ,,,Metro card ,130,No crowding  - 50-75% of seats occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Student,>2 Lakhs,1,1,0,0,0,10,-1,1,3,1,1,2,7,3,0,1,5,2,4,1
622,,906,898,-8,flat,Jalahalli (green line),Konanakunte Cross (green line),Harinagar cross,,,,,Home,"Acharya institute,Peenya industrial area ",13.03512038,77.51932888,0.85,12,School,15:20:00,Metro + Bus ,60,Walk ,10,0.5 to 1 km ,9,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,5,5,Metro card ,5,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,,Bus and Metro ,18-25 yrs ,12th,Student,,0,1,0,0,0,10,-1,1,3,3,1,2,1,4,1,1,1,2,1,1
2376,,903,903,0,flat,Pattandur Agrahara (purple line),Singayyanapalya (purple line),"Mahadevpura, near finix mall ",12.99579446,77.69686519,0.45,6,Home,Agrahara gate,12.98772089,77.73397191,0.4,5,Friend,12:00:00,Metro ,30,Walk ,10,0.5 to 1 km ,3,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - 25-50% of seats occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Postgraduate,Employed,,0,1,0,0,"No, I will not use a bicycle. .",15,4,1,7,1,1,2,2,4,1,1,1,2,2,1
343,,906,898,-8,flat,Jalahalli (green line),Mantri Square Sampige Road (green line),Mantri square ,12.99119275,77.57053854,0.4,4,Shopping,AIMs college ,13.03512038,77.51932888,0.85,12,School,13:00:00,Metro ,30,Dropped-off by friends/others ,2,0.5 to 1 km ,10,Walk ,2,< 0.5 km ,,For access trip only ,,,No ,30,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,18-25 yrs ,Graduate,Student,,1,1,1,0,0,10,-1,4,3,1,1,2,1,1,1,8,1,2,1,1
353,,906,898,-8,flat,Jalahalli (green line),Mantri Square Sampige Road (green line),Mantri square ,12.99119275,77.57053854,0.4,4,Home,AIMs institute ,13.03512038,77.51932888,0.85,12,School,14:30:00,Metro ,30,Walk ,5,0.5 to 1 km ,8,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,18-25 yrs ,Postgraduate,Student,>2 Lakhs,1,3,0,0,0,10,-1,1,3,1,1,2,1,4,1,1,1,2,1,1
800,,906,898,-8,flat,Jalahalli ,,Majestic ,,,,,Home,"Aims institute, jalahalli ",13.03512038,77.51932888,0.85,12,School,16:30:00,Metro ,30,Walk ,10,0.5 to 1 km ,9,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,No ,33,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,,Bus ,18-25 yrs ,12th,Student,"50,001 â€“ 1,00,000",1,1,1,0,0,10,-1,1,3,1,1,2,1,4,1,1,1,2,1,1
1746,,914,909,-5,fall,"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Vijayanagar (purple line),"Nagarbhavi,  BDA complex ",,,,,Home,"Anandhrao circle,  race course road",12.98068607,77.57550859,1,15,Work,10:45:00,Metro ,40,Walk ,10,0.5 to 1 km ,4,Ola/Uber car ,30,> 5 km ,3,For both access and egress trips ,,,Mobility card ,180,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Graduate,Employed,,1,1,0,0,"No, I will not use a bicycle. .",5,4,1,2,1,2,2,11,3,0,1,6,2,5,1
