ID,USE,ACCESS_TIME,ACCESS_DISTANCE,EGRESS_DISTANCE,EGRESS_TIME,ALT1,ALT2,ALT3,WB,AGE,GENDER,UNO,SERO,VEHICLE,RENT,ACCESS,EGRESS,CYCLE
2,4,3.5999999999999996,0.72,0.144,0.7199999999999999,0,0,1,1,22.0,0,1,0,1,10,1,0,1
3,4,26.7,5.34,0.36,1.7999999999999998,0,0,1,0,30.0,0,1,0,1,10,1,0,1
8,4,1.7999999999999998,0.36,0.72,3.5999999999999996,0,0,1,0,40.0,0,1,0,1,10,1,0,0
10,4,7.199999999999999,1.44,0.72,3.5999999999999996,0,0,1,1,22.0,1,1,0,0,10,1,0,0
12,4,5.399999999999999,1.0799999999999998,0.144,0.7199999999999999,0,0,1,0,30.0,1,1,0,1,10,1,0,0
25,1,1.7999999999999998,0.36,0.144,0.7199999999999999,1,0,0,0,22.0,1,1,0,0,10,1,0,0
41,4,8.999999999999998,1.7999999999999998,0.72,3.5999999999999996,0,0,1,0,30.0,0,1,0,1,10,1,0,0
58,4,1.7999999999999998,0.36,0.288,1.4399999999999997,0,0,1,1,22.0,0,1,0,0,10,1,0,0
61,2,3.5999999999999996,0.72,0.288,1.4399999999999997,0,1,0,0,30.0,0,1,0,0,10,1,0,0
62,1,3.5999999999999996,0.72,1.0799999999999998,5.399999999999999,1,0,0,0,30.0,1,1,0,1,10,1,0,0
63,1,1.7999999999999998,0.36,0.504,2.52,1,0,0,1,54.0,1,1,0,1,10,1,0,0
0,1,3.5999999999999996,0.72,0.72,3.5999999999999996,1,0,0,0,22.0,0,1,0,1,5,1,0,0
1,1,5.399999999999999,1.0799999999999998,0.36,1.7999999999999998,1,0,0,0,22.0,0,1,0,1,5,1,0,1
2,2,3.5999999999999996,0.72,0.36,1.7999999999999998,0,1,0,1,22.0,1,1,0,1,5,1,0,0
6,4,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,1,1,22.0,0,1,0,1,5,1,0,0
11,4,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,1,1,54.0,1,1,0,0,5,1,0,0
20,1,3.5999999999999996,0.72,0.72,3.5999999999999996,1,0,0,0,22.0,0,1,0,1,5,1,0,0
21,2,1.7999999999999998,0.36,0.36,1.7999999999999998,0,1,0,0,22.0,0,1,0,1,5,1,0,1
24,1,1.7999999999999998,0.36,0.72,3.5999999999999996,1,0,0,0,22.0,0,1,0,1,5,1,0,0
25,2,2.8799999999999994,0.576,0.36,1.7999999999999998,0,1,0,0,22.0,0,1,0,1,5,1,0,0
27,1,0.7199999999999999,0.144,0.072,0.35999999999999993,1,0,0,0,22.0,1,1,0,1,5,1,0,0
30,4,5.399999999999999,1.0799999999999998,0.144,0.7199999999999999,0,0,1,0,22.0,1,1,0,1,5,1,0,0
32,4,4.68,0.9359999999999999,1.44,7.199999999999999,0,0,1,0,30.0,1,1,0,0,5,1,0,0
38,4,7.199999999999999,1.44,0.72,3.5999999999999996,0,0,1,1,54.0,1,1,0,1,5,1,0,0
42,1,3.5999999999999996,0.72,0.21599999999999997,1.0799999999999998,1,0,0,1,30.0,1,1,0,1,5,1,0,0
50,4,0.35999999999999993,0.072,0.072,0.35999999999999993,0,0,1,1,22.0,1,1,0,1,5,1,0,0
56,4,3.5999999999999996,0.72,0.72,3.5999999999999996,0,0,1,0,22.0,0,1,0,0,5,1,0,0
57,1,1.7999999999999998,0.36,0.72,3.5999999999999996,1,0,0,0,40.0,1,1,0,1,5,1,0,1
62,1,3.5999999999999996,0.72,0.36,1.7999999999999998,1,0,0,0,22.0,1,1,0,1,5,1,1,1
63,4,3.5999999999999996,0.72,0.72,3.5999999999999996,0,0,1,1,30.0,1,1,0,1,5,1,0,0
64,1,1.7999999999999998,0.36,0.72,3.5999999999999996,1,0,0,0,22.0,1,1,0,0,5,1,0,0
66,4,3.5999999999999996,0.72,0.288,1.4399999999999997,0,0,1,1,40.0,0,1,0,1,5,1,0,0
67,1,7.199999999999999,1.44,0.288,1.4399999999999997,1,0,0,0,22.0,0,1,0,1,5,1,0,0
68,4,1.7999999999999998,0.36,1.0799999999999998,5.399999999999999,0,0,1,1,22.0,0,1,0,1,5,1,0,0
74,4,1.7999999999999998,0.36,0.288,1.4399999999999997,0,0,1,0,22.0,0,1,0,1,5,1,0,0
77,1,1.7999999999999998,0.36,0.504,2.52,1,0,0,0,22.0,1,1,0,1,5,1,0,1
81,4,2.52,0.504,2.67,13.35,0,0,1,1,30.0,0,1,0,1,5,1,0,0
85,4,0.7199999999999999,0.144,0.144,0.7199999999999999,0,0,1,0,22.0,1,1,0,1,5,1,0,1
92,4,0.7199999999999999,0.144,0.72,3.5999999999999996,0,0,1,0,22.0,0,1,0,0,5,1,0,0
94,4,3.5999999999999996,0.72,0.21599999999999997,1.0799999999999998,0,0,1,1,22.0,1,1,0,1,5,1,0,0
95,1,3.5999999999999996,0.72,0.144,0.7199999999999999,1,0,0,0,22.0,1,1,0,1,5,1,0,1
97,4,3.5999999999999996,0.72,0.21599999999999997,1.0799999999999998,0,0,1,0,22.0,0,1,0,1,5,1,0,0
100,1,1.7999999999999998,0.36,0.72,3.5999999999999996,1,0,0,0,22.0,1,1,0,1,5,1,0,0
106,1,3.5999999999999996,0.72,0.72,3.5999999999999996,1,0,0,0,22.0,1,1,0,1,5,1,0,0
113,4,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,1,0,30.0,0,1,0,1,5,1,0,0
115,1,2.52,0.504,0.144,0.7199999999999999,1,0,0,1,40.0,1,1,0,1,5,1,0,1
120,4,1.7999999999999998,0.36,0.21599999999999997,1.0799999999999998,0,0,1,0,22.0,1,1,0,1,5,1,0,1
121,4,1.7999999999999998,0.36,0.72,3.5999999999999996,0,0,1,0,22.0,0,1,0,1,5,1,0,0
127,2,1.7999999999999998,0.36,0.144,0.7199999999999999,0,1,0,1,22.0,0,1,0,1,5,1,0,0
143,4,1.7999999999999998,0.36,0.144,0.7199999999999999,0,0,1,0,22.0,0,1,0,1,5,1,0,1
146,1,2.1599999999999997,0.43199999999999994,0.36,1.7999999999999998,1,0,0,0,30.0,0,1,0,1,5,1,0,0
148,1,1.7999999999999998,0.36,0.36,1.7999999999999998,1,0,0,1,30.0,1,1,0,0,5,1,0,0
149,4,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,1,0,22.0,0,1,0,0,5,1,0,0
152,4,1.7999999999999998,0.36,0.72,3.5999999999999996,0,0,1,1,40.0,0,1,0,1,5,1,0,0
155,2,1.0799999999999998,0.21599999999999997,0.144,0.7199999999999999,0,1,0,0,22.0,0,1,0,0,5,1,0,0
156,4,2.52,0.504,0.9359999999999999,4.68,0,0,1,0,22.0,0,1,0,1,5,1,0,0
157,1,3.5999999999999996,0.72,1.44,7.199999999999999,1,0,0,1,30.0,1,1,0,1,5,1,0,0
158,2,5.399999999999999,1.0799999999999998,0.36,1.7999999999999998,0,1,0,0,22.0,0,1,0,1,5,1,0,1
159,4,2.52,0.504,0.36,1.7999999999999998,0,0,1,0,22.0,0,1,0,1,5,1,0,0
160,4,1.7999999999999998,0.36,1.0799999999999998,5.399999999999999,0,0,1,0,54.0,1,1,0,0,5,1,0,0
162,1,2.52,0.504,0.504,2.52,1,0,0,0,22.0,0,1,0,1,5,1,0,0
163,2,3.5999999999999996,0.72,0.72,3.5999999999999996,0,1,0,0,40.0,1,1,0,0,5,1,0,0
166,4,5.399999999999999,1.0799999999999998,0.36,1.7999999999999998,0,0,1,1,22.0,1,1,0,1,5,1,0,0
168,2,1.7999999999999998,0.36,0.288,1.4399999999999997,0,1,0,1,22.0,0,1,0,1,5,1,0,1
169,4,1.7999999999999998,0.36,0.72,3.5999999999999996,0,0,1,1,54.0,0,1,0,1,5,1,0,0
171,4,1.7999999999999998,0.36,0.21599999999999997,1.0799999999999998,0,0,1,1,22.0,1,1,0,1,5,1,0,0
172,2,3.5999999999999996,0.72,0.9359999999999999,4.68,0,1,0,0,22.0,0,1,0,0,5,1,0,0
173,4,3.5999999999999996,0.72,0.36,1.7999999999999998,0,0,1,0,22.0,0,1,0,1,5,1,0,0
174,4,1.0799999999999998,0.21599999999999997,0.144,0.7199999999999999,0,0,1,1,30.0,1,1,0,0,5,1,0,0
175,4,2.52,0.504,0.72,3.5999999999999996,0,0,1,0,22.0,0,1,0,0,5,1,0,0
180,2,1.7999999999999998,0.36,0.43199999999999994,2.1599999999999997,0,1,0,1,22.0,0,1,0,0,5,1,0,0
183,4,2.8799999999999994,0.576,1.0799999999999998,5.399999999999999,0,0,1,0,22.0,0,1,0,1,5,1,0,1
191,4,3.5999999999999996,0.72,0.36,1.7999999999999998,0,0,1,1,22.0,1,1,0,1,5,1,0,0
192,4,1.7999999999999998,0.36,0.72,3.5999999999999996,0,0,1,0,22.0,1,1,0,1,5,1,0,1
195,4,2.1599999999999997,0.43199999999999994,0.504,2.52,0,0,1,0,22.0,1,1,0,1,5,1,0,1
196,4,3.5999999999999996,0.72,0.72,3.5999999999999996,0,0,1,1,54.0,1,1,0,0,5,1,0,0
197,4,3.5999999999999996,0.72,0.72,3.5999999999999996,0,0,1,1,30.0,1,1,0,1,5,1,0,0
216,4,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,1,0,22.0,1,1,0,0,5,1,0,0
218,4,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,1,1,22.0,1,1,0,1,5,1,0,0
221,4,5.399999999999999,1.0799999999999998,0.36,1.7999999999999998,0,0,1,1,30.0,1,1,0,1,5,1,0,0
223,1,1.7999999999999998,0.36,0.144,0.7199999999999999,1,0,0,0,22.0,1,1,0,1,5,1,0,1
228,4,1.7999999999999998,0.36,1.0799999999999998,5.399999999999999,0,0,1,0,30.0,1,1,0,1,5,1,0,0
233,2,1.7999999999999998,0.36,0.144,0.7199999999999999,0,1,0,1,30.0,1,1,0,1,5,1,0,0
234,1,3.5999999999999996,0.72,0.36,1.7999999999999998,1,0,0,1,30.0,1,1,0,0,5,1,0,0
235,1,3.5999999999999996,0.72,0.72,3.5999999999999996,1,0,0,1,30.0,1,1,0,0,5,1,0,0
