ID,AGE,USE,ACCESS_TIME,ACCESS_DISTANCE,EGRESS_DISTANCE,EGRESS_TIME,ALT1,ALT2,ALT3,WB,GENDER,UNO,SERO,VEHICLE,RENT
0,22.0,3,1.7999999999999998,0.5,3.75,18.69,0,0,0,0,0,1,0,0,10
1,22.0,4,1.7999999999999998,0.5,2.25,7.0,0,0,1,0,0,1,0,1,10
2,22.0,4,3.5999999999999996,0.75,0.5,0.7199999999999999,0,0,1,1,0,1,0,1,10
3,30.0,4,26.7,4.25,0.75,1.7999999999999998,0,0,1,0,0,1,0,1,10
4,40.0,4,1.7999999999999998,0.5,1.25,13.35,0,0,1,1,1,1,0,1,10
5,22.0,4,40.05,3.75,1.25,3.5999999999999996,0,0,1,0,1,1,0,1,10
6,30.0,1,26.7,5.0,5.0,45.39,1,0,0,0,0,1,0,0,10
7,22.0,1,53.4,5.0,2.75,26.7,1,0,0,0,1,1,0,1,10
8,40.0,4,1.7999999999999998,0.5,0.75,3.5999999999999996,0,0,1,0,0,1,0,1,10
9,65.0,4,66.69999999999999,2.75,3.25,53.4,0,0,1,0,1,1,0,1,10
10,22.0,4,7.199999999999999,1.75,1.25,3.5999999999999996,0,0,1,1,1,1,0,0,10
11,40.0,1,19.599999999999998,0.5,1.75,7.199999999999999,1,0,0,0,1,1,0,1,10
12,30.0,4,5.399999999999999,1.75,0.5,0.7199999999999999,0,0,1,0,1,1,0,1,10
13,22.0,1,1.7999999999999998,0.5,0.5,1.0799999999999998,1,0,0,0,1,1,0,1,10
14,22.0,3,1.0799999999999998,0.5,5.0,40.05,0,0,0,0,0,1,0,0,10
15,22.0,4,3.0,0.75,1.25,4.68,0,0,1,0,1,1,0,1,10
16,30.0,4,78.39999999999999,5.0,1.75,3.5999999999999996,0,0,1,1,1,1,0,1,10
17,22.0,1,1.7999999999999998,0.5,0.5,1.7999999999999998,1,0,0,1,1,1,0,0,10
18,40.0,4,1.0799999999999998,0.5,2.75,39.199999999999996,0,0,1,0,0,1,0,1,10
19,30.0,4,3.5999999999999996,0.75,0.5,1.7999999999999998,0,0,1,0,1,1,0,1,10
20,30.0,4,40.05,4.25,2.75,40.05,0,0,1,0,0,1,0,1,10
21,30.0,1,10.0,3.75,1.75,5.399999999999999,1,0,0,1,1,1,0,1,10
22,40.0,1,40.05,3.75,4.25,15.0,1,0,0,0,1,1,0,1,10
23,40.0,4,20.0,5.0,0.5,1.7999999999999998,0,0,1,0,0,1,0,1,10
24,30.0,4,3.5999999999999996,0.75,2.25,7.199999999999999,0,0,1,0,0,1,0,1,10
25,22.0,1,1.7999999999999998,0.5,0.5,0.7199999999999999,1,0,0,0,1,1,0,0,10
26,22.0,3,5.399999999999999,2.75,0.5,0.35999999999999993,0,0,0,0,1,1,0,1,10
27,22.0,1,0.35999999999999993,0.5,0.75,19.599999999999998,1,0,0,0,1,1,0,1,10
28,22.0,1,2.8799999999999994,0.5,0.75,3.5999999999999996,1,0,0,0,1,1,0,1,10
29,22.0,4,1.7999999999999998,0.5,0.5,1.7999999999999998,0,0,1,0,0,1,0,1,10
30,30.0,1,19.599999999999998,1.75,0.75,1.7999999999999998,1,0,0,0,1,1,0,0,10
31,30.0,4,3.5999999999999996,1.25,5.0,53.4,0,0,1,1,1,1,0,1,10
32,40.0,4,5.0,1.75,0.5,1.7999999999999998,0,0,1,0,0,1,0,1,10
33,22.0,4,0.7199999999999999,0.5,0.5,0.7199999999999999,0,0,1,1,1,1,0,1,10
34,54.0,4,26.7,1.75,1.75,26.7,0,0,1,1,1,1,0,0,10
35,30.0,2,50.025,3.75,4.75,66.69999999999999,0,1,0,1,0,1,0,1,10
36,22.0,3,1.7999999999999998,0.5,0.75,1.7999999999999998,0,0,0,0,1,1,0,1,10
37,40.0,1,26.7,2.25,2.25,26.7,1,0,0,1,1,1,0,1,10
38,30.0,4,39.199999999999996,2.75,1.25,3.5999999999999996,0,0,1,0,1,1,0,1,10
39,22.0,4,1.7999999999999998,0.5,0.5,1.7999999999999998,0,0,1,0,0,1,0,0,10
40,22.0,4,50.025,3.75,0.5,1.7999999999999998,0,0,1,0,1,1,0,1,10
41,30.0,4,8.999999999999998,1.75,1.75,3.5999999999999996,0,0,1,0,0,1,0,1,10
42,40.0,4,39.199999999999996,1.25,0.5,3.5999999999999996,0,0,1,1,1,1,0,1,10
43,22.0,1,10.0,2.75,0.75,1.7999999999999998,1,0,0,0,1,1,0,0,10
44,22.0,4,1.7999999999999998,0.5,0.5,1.7999999999999998,0,0,1,1,0,1,0,0,10
45,22.0,4,1.7999999999999998,0.5,0.5,1.7999999999999998,0,0,1,1,1,1,0,1,10
46,22.0,1,7.199999999999999,1.25,0.5,1.7999999999999998,1,0,0,1,1,1,0,0,10
48,30.0,1,26.7,1.75,0.5,1.7999999999999998,1,0,0,1,1,1,0,1,10
49,54.0,1,1.7999999999999998,0.5,2.25,26.7,1,0,0,1,0,1,0,0,10
50,30.0,4,1.7999999999999998,0.5,1.75,16.674999999999997,0,0,1,1,0,1,0,1,10
51,22.0,4,26.7,2.75,0.75,5.0,0,0,1,0,0,1,0,1,10
52,30.0,4,1.7999999999999998,0.75,0.75,3.5999999999999996,0,0,1,1,0,1,0,1,10
55,30.0,4,0.7199999999999999,0.5,0.5,0.7199999999999999,0,0,1,0,1,1,0,1,10
57,30.0,1,13.35,2.25,1.25,3.5999999999999996,1,0,0,1,1,1,0,1,10
58,22.0,4,1.7999999999999998,0.5,0.75,1.4399999999999997,0,0,1,1,0,1,0,0,10
59,30.0,4,39.199999999999996,2.25,2.25,3.5999999999999996,0,0,1,1,1,1,0,1,10
60,30.0,1,1.0799999999999998,0.5,0.5,1.7999999999999998,1,0,0,1,1,1,0,1,10
61,30.0,2,3.5999999999999996,0.5,0.5,1.4399999999999997,0,1,0,0,0,1,0,0,10
62,30.0,1,3.5999999999999996,0.75,1.25,5.399999999999999,1,0,0,0,1,1,0,1,10
63,54.0,1,1.7999999999999998,0.5,0.5,2.52,1,0,0,1,1,1,0,1,10
64,22.0,4,1.0799999999999998,0.5,0.75,3.5999999999999996,0,0,1,0,1,1,0,1,10
65,22.0,1,3.5999999999999996,0.75,1.25,26.7,1,0,0,0,1,1,0,1,10
66,22.0,4,2.8799999999999994,0.75,0.5,1.4399999999999997,0,0,1,1,0,1,0,0,10
67,22.0,1,3.5999999999999996,1.25,2.75,10.0,1,0,0,0,0,1,0,1,10
68,22.0,2,1.7999999999999998,0.5,3.75,66.75,0,1,0,0,1,1,0,0,10
69,30.0,4,0.7199999999999999,0.5,5.0,98.0,0,0,1,1,1,1,0,1,10
70,22.0,1,2.52,0.5,0.75,5.399999999999999,1,0,0,0,0,1,0,0,10
71,40.0,4,0.7199999999999999,0.5,1.75,3.5999999999999996,0,0,1,0,1,1,0,0,10
72,22.0,4,33.349999999999994,1.75,0.5,1.7999999999999998,0,0,1,0,1,1,0,1,10
73,30.0,4,70.56,2.75,1.75,4.68,0,0,1,0,1,1,0,1,10
74,30.0,4,0.7199999999999999,0.5,3.25,58.8,0,0,1,1,1,1,0,1,10
75,22.0,4,3.5999999999999996,0.75,0.5,1.7999999999999998,0,0,1,0,1,1,0,1,10
0,22.0,1,3.5999999999999996,0.75,0.75,3.5999999999999996,1,0,0,0,0,1,0,1,5
