,AGE,USE,ACCESS_TIME,ACCESS_DISTANCE,EGRESS_DISTANCE,EGRESS_TIME,ALT1,ALT2,ALT3,WB,CYCLE,GENDER,UNO,SERO,VEHICLE,RENT,ACCESS,EGRESS
1,22.0,4,1.7999999999999998,0.5,2.25,7.0,0,0,1,0,0,0,1,0,1,10,1,0
2,22.0,4,3.5999999999999996,0.75,0.5,0.7199999999999999,0,0,1,1,1,0,1,0,1,10,1,0
3,30.0,4,26.7,4.25,0.75,1.7999999999999998,0,0,1,0,1,0,1,0,1,10,1,0
4,40.0,4,1.7999999999999998,0.5,1.25,13.35,0,0,1,1,0,1,1,0,1,10,1,0
5,22.0,4,40.05,3.75,1.25,3.5999999999999996,0,0,1,0,0,1,1,0,1,10,1,0
6,30.0,1,26.7,5.0,5.0,45.39,1,0,0,0,0,0,1,0,0,10,1,0
7,22.0,1,53.4,5.0,2.75,26.7,1,0,0,0,1,1,1,0,1,10,1,0
8,40.0,4,1.7999999999999998,0.5,0.75,3.5999999999999996,0,0,1,0,0,0,1,0,1,10,1,0
9,65.0,4,66.69999999999999,2.75,3.25,53.4,0,0,1,0,0,1,1,0,1,10,1,0
10,22.0,4,7.199999999999999,1.75,1.25,3.5999999999999996,0,0,1,1,0,1,1,0,0,10,1,0
11,40.0,1,19.599999999999998,0.5,1.75,7.199999999999999,1,0,0,0,0,1,1,0,1,10,1,0
12,30.0,4,5.399999999999999,1.75,0.5,0.7199999999999999,0,0,1,0,0,1,1,0,1,10,1,0
15,22.0,4,3.0,0.75,1.25,4.68,0,0,1,0,0,1,1,0,1,10,1,0
16,30.0,4,78.39999999999999,5.0,1.75,3.5999999999999996,0,0,1,1,0,1,1,0,1,10,1,0
18,40.0,4,1.0799999999999998,0.5,2.75,39.199999999999996,0,0,1,0,0,0,1,0,1,10,1,1
20,30.0,4,40.05,4.25,2.75,40.05,0,0,1,0,0,0,1,0,1,10,1,0
22,40.0,1,40.05,3.75,4.25,15.0,1,0,0,0,1,1,1,0,1,10,1,0
23,40.0,4,20.0,5.0,0.5,1.7999999999999998,0,0,1,0,0,0,1,0,1,10,1,0
25,22.0,1,1.7999999999999998,0.5,0.5,0.7199999999999999,1,0,0,0,0,1,1,0,0,10,1,0
32,40.0,4,5.0,1.75,0.5,1.7999999999999998,0,0,1,0,0,0,1,0,1,10,1,0
34,54.0,4,26.7,1.75,1.75,26.7,0,0,1,1,0,1,1,0,0,10,1,0
35,30.0,2,50.025,3.75,4.75,66.69999999999999,0,1,0,1,0,0,1,0,1,10,1,0
37,40.0,1,26.7,2.25,2.25,26.7,1,0,0,1,0,1,1,0,1,10,1,0
38,30.0,4,39.199999999999996,2.75,1.25,3.5999999999999996,0,0,1,0,0,1,1,0,1,10,1,0
41,30.0,4,8.999999999999998,1.75,1.75,3.5999999999999996,0,0,1,0,0,0,1,0,1,10,1,0
42,40.0,4,39.199999999999996,1.25,0.5,3.5999999999999996,0,0,1,1,0,1,1,0,1,10,1,0
58,22.0,4,1.7999999999999998,0.5,0.75,1.4399999999999997,0,0,1,1,0,0,1,0,0,10,1,0
59,30.0,4,39.199999999999996,2.25,2.25,3.5999999999999996,0,0,1,1,0,1,1,0,1,10,1,0
61,30.0,2,3.5999999999999996,0.5,0.5,1.4399999999999997,0,1,0,0,0,0,1,0,0,10,1,0
62,30.0,1,3.5999999999999996,0.75,1.25,5.399999999999999,1,0,0,0,0,1,1,0,1,10,1,0
63,54.0,1,1.7999999999999998,0.5,0.5,2.52,1,0,0,1,0,1,1,0,1,10,1,0
67,22.0,1,3.5999999999999996,1.25,2.75,10.0,1,0,0,0,0,0,1,0,1,10,1,0
73,30.0,4,70.56,2.75,1.75,4.68,0,0,1,0,0,1,1,0,1,10,1,0
0,22.0,1,3.5999999999999996,0.75,0.75,3.5999999999999996,1,0,0,0,0,0,1,0,1,5,1,0
1,22.0,1,5.399999999999999,1.25,0.5,1.7999999999999998,1,0,0,0,1,0,1,0,1,5,1,0
2,22.0,2,3.5999999999999996,0.5,0.5,1.7999999999999998,0,1,0,1,0,1,1,0,1,5,1,0
4,22.0,1,3.5999999999999996,1.25,2.75,33.349999999999994,1,0,0,1,0,1,1,0,0,5,1,0
5,22.0,2,10.0,1.25,0.5,1.7999999999999998,0,1,0,0,1,0,1,0,1,5,1,0
6,22.0,4,1.7999999999999998,0.5,0.5,1.7999999999999998,0,0,1,1,0,0,1,0,1,5,1,0
9,30.0,2,26.7,2.75,0.75,3.5999999999999996,0,1,0,1,0,0,1,0,1,5,1,0
10,22.0,4,39.199999999999996,1.25,0.5,0.7199999999999999,0,0,1,0,0,1,1,0,1,5,1,0
11,54.0,4,1.7999999999999998,0.5,0.5,1.7999999999999998,0,0,1,1,0,1,1,0,0,5,1,0
13,22.0,4,53.4,5.0,0.75,3.5999999999999996,0,0,1,1,0,0,1,0,0,5,1,0
14,30.0,4,1.0799999999999998,0.5,0.75,10.005,0,0,1,1,0,1,1,0,1,5,1,0
17,54.0,4,1.0799999999999998,0.5,1.75,26.7,0,0,1,1,0,1,1,0,0,5,1,0
18,22.0,4,58.8,3.75,1.75,27.44,0,0,1,1,1,1,1,0,1,5,1,0
20,22.0,1,3.5999999999999996,0.75,0.75,3.5999999999999996,1,0,0,0,0,0,1,0,1,5,1,0
21,22.0,2,1.7999999999999998,0.5,0.5,1.7999999999999998,0,1,0,0,1,0,1,0,1,5,1,0
23,30.0,4,1.7999999999999998,0.5,2.75,10.0,0,0,1,1,1,1,1,0,0,5,1,0
24,22.0,1,1.7999999999999998,0.5,0.5,3.5999999999999996,1,0,0,0,0,0,1,0,1,5,1,0
25,22.0,2,2.8799999999999994,0.75,0.5,1.7999999999999998,0,1,0,0,0,0,1,0,1,5,1,0
27,22.0,1,0.7199999999999999,0.5,0.5,0.35999999999999993,1,0,0,0,0,1,1,0,1,5,1,0
28,40.0,1,15.0,3.75,0.75,3.5999999999999996,1,0,0,1,1,0,1,0,1,5,1,0
29,22.0,4,10.0,2.25,1.75,26.7,0,0,1,0,0,0,1,0,1,5,1,0
30,22.0,4,5.399999999999999,1.25,0.5,0.7199999999999999,0,0,1,0,0,1,1,0,1,5,1,0
32,30.0,4,4.68,1.25,1.25,7.199999999999999,0,0,1,0,0,1,1,0,0,5,1,0
33,22.0,4,33.349999999999994,0.5,0.5,1.7999999999999998,0,0,1,1,0,1,1,0,1,5,1,0
37,22.0,2,2.8799999999999994,0.5,2.25,26.7,0,1,0,0,0,0,1,0,1,5,1,0
38,54.0,4,7.199999999999999,1.75,0.75,3.5999999999999996,0,0,1,1,0,1,1,0,1,5,1,0
39,22.0,1,78.39999999999999,5.0,0.5,0.7199999999999999,1,0,0,0,0,1,1,0,1,5,1,0
40,30.0,1,39.199999999999996,4.25,0.75,3.5999999999999996,1,0,0,1,0,1,1,0,1,5,1,0
42,30.0,1,3.5999999999999996,0.75,0.5,1.0799999999999998,1,0,0,1,0,1,1,0,1,5,1,0
43,40.0,1,3.5999999999999996,0.75,3.75,58.8,1,0,0,1,0,1,1,0,1,5,1,0
45,22.0,1,2.52,0.75,2.25,10.0,1,0,0,0,0,0,1,0,0,5,1,0
49,22.0,1,58.8,1.25,0.5,0.35999999999999993,1,0,0,1,0,1,1,0,1,5,1,0
50,22.0,4,0.35999999999999993,0.5,0.5,0.35999999999999993,0,0,1,1,0,1,1,0,1,5,1,0
51,22.0,1,39.199999999999996,3.25,0.75,3.5999999999999996,1,0,0,0,0,1,1,0,1,5,1,0
55,22.0,1,19.599999999999998,1.25,0.5,0.7199999999999999,1,0,0,1,0,1,1,0,1,5,1,0
56,22.0,4,3.5999999999999996,0.75,0.75,3.5999999999999996,0,0,1,0,0,0,1,0,0,5,1,0
