ID,AGE,USE,ACCESS_DISTANCE,EGRESS_DISTANCE,ACCESS_TIME,EGRESS_TIME,ALT1,ALT2,ALT3,ALT4,WB,GENDER,UNO,SERO,VEHICLE,DM1,DM2,DM3,DM4,DM5,DM6,DE1,DE2,DE3,DE4,DE5,DE6
1,65.0,4,0.75,1.75,10,10,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
2,40.0,4,0.3,0.75,5,15,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
3,40.0,3,0.3,0.3,5,5,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
4,22.0,4,0.3,0.3,5,2,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
5,22.0,4,2.75,2.25,15,10,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
6,22.0,3,1.25,0.75,5,5,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
7,22.0,3,0.75,0.75,5,10,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
8,22.0,4,2.25,0.3,10,3,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
9,30.0,2,0.75,2.25,10,10,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
10,22.0,1,0.75,0.3,5,10,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
11,22.0,3,0.3,1.25,5,15,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
12,30.0,3,1.25,1.25,10,3,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
13,22.0,4,0.75,0.75,5,5,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
14,22.0,4,5.0,0.75,30,10,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15,22.0,3,1.25,0.3,15,5,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
16,22.0,1,0.75,0.75,6,2,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
17,65.0,4,5.0,2.75,20,15,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
18,30.0,3,1.75,0.3,5,5,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
19,22.0,3,3.75,0.75,10,7,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
20,22.0,3,0.3,4.75,5,15,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0
21,22.0,4,0.3,1.25,5,5,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
22,30.0,4,0.75,0.75,15,5,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
23,40.0,3,1.25,0.3,10,5,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
24,22.0,3,0.75,1.75,10,10,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
25,22.0,1,3.75,4.75,15,20,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
26,30.0,4,0.75,0.75,10,5,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
27,54.0,4,0.3,1.75,2,15,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
28,22.0,3,0.75,0.75,10,10,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
29,22.0,4,0.3,5.0,1,40,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
30,22.0,3,0.75,4.25,5,20,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
31,22.0,4,0.3,0.3,2,5,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0
32,22.0,3,0.3,0.3,10,10,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
