ID,AGE,USE,ACCESS_TIME,ACCESS_DISTANCE,EGRESS_DISTANCE,EGRESS_TIME,ALT1,ALT2,ALT3,ALT4,WB,GENDER,UNO,SERO,VEHICLE,DM1,DM2,DM3,DM4,DM5,EDM1,EDM2,EDM3,EDM4,EDM5
0,65.0,4,3.5999999999999996,0.75,1.75,26.7,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0
1,40.0,4,1.7999999999999998,0.3,0.75,5.399999999999999,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
2,40.0,3,1.7999999999999998,0.3,0.3,1.7999999999999998,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
3,22.0,4,1.7999999999999998,0.3,0.3,0.7199999999999999,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
4,22.0,4,40.05,2.75,2.25,26.7,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
5,22.0,3,19.599999999999998,1.25,0.75,1.7999999999999998,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0
6,22.0,3,1.7999999999999998,0.75,0.75,3.5999999999999996,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0
7,22.0,4,10.0,2.25,0.3,1.0799999999999998,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
8,30.0,2,3.5999999999999996,0.75,2.25,10.0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0
9,22.0,1,13.35,0.75,0.3,3.5999999999999996,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0
10,22.0,3,1.7999999999999998,0.3,1.25,40.05,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
11,30.0,3,3.5999999999999996,1.25,1.25,1.0799999999999998,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
12,22.0,4,1.7999999999999998,0.75,0.75,1.7999999999999998,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0
14,22.0,3,5.399999999999999,1.25,0.3,1.7999999999999998,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0
15,22.0,1,16.02,0.75,0.75,0.7199999999999999,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0
16,65.0,4,53.4,5.0,2.75,40.05,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
17,30.0,3,5.0,1.75,0.3,1.7999999999999998,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0
18,22.0,3,39.199999999999996,3.75,0.75,2.52,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0
19,22.0,3,1.7999999999999998,0.3,4.75,58.8,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1
20,22.0,4,1.7999999999999998,0.3,1.25,1.7999999999999998,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
21,30.0,4,5.399999999999999,0.75,0.75,1.7999999999999998,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0
22,40.0,3,33.349999999999994,1.25,0.3,1.7999999999999998,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0
23,22.0,3,3.5999999999999996,0.75,1.75,39.199999999999996,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
