ID,USE,ACCESS_TIME,ACCESS_DISTANCE,EGRESS_DISTANCE,EGRESS_TIME,ALT1,ALT2,ALT3,ALT4,WB,AGE,GENDER,UNO,SERO,VEHICLE,DM1,DM2,DM3,DM4,DM5,EDM1,EDM2,EDM3,EDM4,EDM5
1,4,1.7999999999999998,0.36,1.0799999999999998,5.399999999999999,0,0,0,1,0,40.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
2,3,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,1,0,0,40.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
3,4,1.7999999999999998,0.36,0.144,0.7199999999999999,0,0,0,1,0,22.0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
6,3,1.7999999999999998,0.36,0.72,3.5999999999999996,0,0,1,0,1,22.0,1,1,0,1,1,0,0,0,0,0,1,0,0,0
11,3,3.5999999999999996,0.72,0.21599999999999997,1.0799999999999998,0,0,1,0,0,30.0,0,1,0,1,0,1,0,0,0,1,0,0,0,0
12,4,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,0,1,0,22.0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
14,3,5.399999999999999,1.0799999999999998,0.36,1.7999999999999998,0,0,1,0,0,22.0,1,1,0,1,0,0,1,0,0,1,0,0,0,0
20,4,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,0,1,0,22.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
21,4,5.399999999999999,1.0799999999999998,0.36,1.7999999999999998,0,0,0,1,0,30.0,0,1,0,1,0,0,1,0,0,1,0,0,0,0
25,4,3.5999999999999996,0.72,0.36,1.7999999999999998,0,0,0,1,0,30.0,0,1,0,1,0,1,0,0,0,1,0,0,0,0
27,3,3.5999999999999996,0.72,0.72,3.5999999999999996,0,0,1,0,0,22.0,1,1,0,1,0,1,0,0,0,0,1,0,0,0
30,4,0.7199999999999999,0.144,0.36,1.7999999999999998,0,0,0,1,1,22.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
31,3,3.5999999999999996,0.72,0.72,3.5999999999999996,0,0,1,0,0,22.0,1,1,0,1,0,1,0,0,0,0,1,0,0,0
32,4,5.399999999999999,1.0799999999999998,0.36,1.7999999999999998,0,0,0,1,0,22.0,0,1,0,1,0,0,1,0,0,1,0,0,0,0
34,4,3.5999999999999996,0.72,0.72,3.5999999999999996,0,0,0,1,1,54.0,1,1,0,1,0,1,0,0,0,0,1,0,0,0
36,3,3.5999999999999996,0.72,0.72,3.5999999999999996,0,0,1,0,0,22.0,0,1,0,1,0,1,0,0,0,0,1,0,0,0
37,3,1.7999999999999998,0.36,1.7999999999999998,8.999999999999998,0,0,1,0,0,30.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
38,1,13.35,2.67,0.144,0.7199999999999999,1,0,0,0,0,22.0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
39,4,0.7199999999999999,0.144,0.144,0.7199999999999999,0,0,0,1,1,30.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
41,3,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,1,0,0,40.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
42,4,3.5999999999999996,0.72,0.36,1.7999999999999998,0,0,0,1,0,30.0,0,1,0,1,0,1,0,0,0,1,0,0,0,0
44,4,1.7999999999999998,0.36,0.72,3.5999999999999996,0,0,0,1,0,22.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
45,1,7.199999999999999,1.44,0.36,1.7999999999999998,1,0,0,0,0,22.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
46,3,1.7999999999999998,0.36,0.21599999999999997,1.0799999999999998,0,0,1,0,1,22.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
