,Unnamed: 0,M_ORIGIN,M_DESTINATION,D_LANDMARK,D_TYPE,O_LANDMARK,O_TYPE,START_TIME,TRIP_SEQUENCE,TOTAL_TIME,ACCESS_MODE,ACCESS_TIME,ACCESS_DISTANCE,WT_FS,EGRESS_MODE,EGRESS_TIME,EGRESS_DISTANCE,WT_FIS,BICYCLE_USE,TRANSFER_TIME,WAITING_TIME_SECOND_STOP,PASS,TOTAL_COST,CROWDING,GENDER,S_1,S_2,S_3,AGE,EDUCATION,OCCUPATION,INCOME,CARS,TWO_WHEELER,N_BICYCLES,OTHERS,PARKING,RENT,PARK,DESTINATION,ORIGIN,TRIP,AGE_C,ACCESS_DIS,EGRESS_DIS,RENT_BICYCLE,MALE,ACCESS_M,EGRESS_M
1,1,Jalahalli (green line),Lalbagh (green line),Lalbag flower show,Other,"Baglugunte, ishwara temple",Home,10:00:00,Bus + Metro ,45,Walk ,5,< 0.5 km ,2,Walk ,15,0.5 to 1 km ,,For neither access nor egress trips ,7.0,7.0,No ,42,No crowding  - Most ,Female,Yes ,Metro ,Metro ,36-45yrs ,10th,Unemployed,,0.0,0,1,0,0,10,-1,8,1,2,3,1,3,1,0,1,1
3,3,Rajarajeshwari Nagar (purple line),Mahatma Gandhi Road (purple line),"Mg,road,chruch street",Shopping,"Rr nagar,gopalan mall",Home,10:15:00,Metro ,25,Walk ,5,< 0.5 km ,2,Walk ,2,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Postgraduate,Employed,,1.0,1,0,0,0,10,-1,4,1,1,1,1,1,1,0,1,1
4,4,Rashtreeya Vidyalaya Road (green line),Trinity (purple line),Trinity commercial street,Shopping,BTM layout grand wedding biryani,Other,10:00:00,Metro ,90,Auto Rickshaw ,15,2.5 km to 3 km ,5,Auto Rickshaw ,10,2 km to 2.5 km ,4.0,For neither access nor egress trips ,,,No ,180,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Employed,>2 Lakhs,0.0,0,0,0,0,10,-1,4,8,1,1,7,11,1,0,5,5
7,7,Mahalakshmi (green line),Mahatma Gandhi Road (purple line),"Mg road,chruch street ,ameoba",Shopping,"Mahalaxmi,nandini layout ",Home,10:30:00,Metro ,30,Dropped-off by friends/others ,10,2 km to 2.5 km ,5,Walk ,3,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Student,,1.0,2,0,0,0,10,-1,4,1,1,1,11,1,1,0,8,1
8,8,"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Indiranagar (purple line),Indiranagar Cafe Coffee day,Work,"Majestic metro came from, tumkur",Home,10:50:00,Metro ,25,Walk ,10,0.5 to 1 km ,5,Dropped-off by friends/others ,10,2 km to 2.5 km ,5.0,For egress trip only ,,,No ,25,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,,Metro ,26-35 yrs ,Graduate,Employed,"50,001 – 1,00,000",2.0,3,0,0,0,10,-1,2,1,1,2,3,11,4,0,1,8
10,10,Dasarahalli (green line),Trinity (purple line),Trinity commercial street,School,Dasrahalli saptagri hospital ,Other,10:00:00,Bus + Metro ,75,Walk ,5,< 0.5 km ,5,Auto Rickshaw ,15,1 km to 1.5 km ,5.0,For both access and egress trips ,2.0,5.0,Metro card ,100,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Student,,0.0,0,0,0,0,10,-1,3,8,2,1,1,4,3,0,1,5
11,11,Peenya (green line),Cubbon Park (purple line),"Cubbon park, museum of art and photography ",Shopping,"Yeshwantpur,HMT road",Home,10:40:00,Metro ,50,Walk ,10,1 km to 1.5 km ,2,Walk ,3,1 km to 1.5 km ,,For both access and egress trips ,,,No ,35,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,26-35 yrs ,Postgraduate,Student,>2 Lakhs,1.0,1,2,0,0,10,-1,4,1,1,2,4,4,3,0,1,1
13,13,Jalahalli (green line),Baiyappanahalli (purple line),"Nagawara, madhina hotel",Other,Peenya 2nd stage balaji nagar,Home,09:30:00,Metro+bus1+bus2,150,Auto Rickshaw ,30,> 5 km ,5,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,5.0,5.0,No ,200,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Not eligible ,Metro ,Metro ,18-25yrs ,Graduate,Student,,0.0,0,0,0,0,10,-1,8,1,0,1,8,3,1,0,5,1
15,15,Jayanagar (green line),Mahatma Gandhi Road (purple line),"Mg road, chruch st",Shopping,Jayanagar kr road ,Home,10:30:00,Metro ,25,Auto Rickshaw ,6,0.5 to 1 km ,0,Walk ,2,0.5 to 1 km ,,For access trip only ,,,Metro card ,29,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Student,,0.0,1,0,0,0,10,-1,4,1,1,1,3,3,2,0,5,1
16,16,Konanakunte Cross (green line),Baiyappanahalli (purple line),Byappanahalli banaswadi anmaneya temple,Social,Konankunte prestige falcon city,Home,10:30:00,Metro ,50,Auto Rickshaw ,20,> 5 km ,5,Auto Rickshaw ,15,2.5 km to 3 km ,5.0,For neither access nor egress trips ,,,No ,160,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,> 60 yrs ,Doctorate,Unemployed,,1.0,0,0,0,0,10,-1,6,1,1,5,8,7,1,0,5,5
