ID,USE_BICYCLE,ACCESS_TIME,EGRESS_TIME,GENDER,Alt1,ALT2,ALT3,ALT4,UNO,SERO,USE,ACCESS_DISTANCE,EGRESS-DISTANCE,EGRESS_DISTANCE,ALT1,WB
0,4,3.5999999999999996,26.7,1,0,0,0,1,1,0,4,0.75,1.75,1.75,0,0
1,4,1.7999999999999998,5.399999999999999,0,0,0,0,1,1,0,4,0.5,0.75,0.75,0,0
2,3,1.7999999999999998,1.7999999999999998,1,0,0,1,0,1,0,3,0.5,0.5,0.5,0,0
3,4,1.7999999999999998,0.7199999999999999,0,0,0,0,1,1,0,4,0.5,0.5,0.5,0,0
4,4,40.05,26.7,0,0,0,0,1,1,0,4,2.75,2.25,2.25,0,0
5,3,19.599999999999998,1.7999999999999998,1,0,0,1,0,1,0,3,1.25,0.75,0.75,0,0
6,3,1.7999999999999998,3.5999999999999996,1,0,0,1,0,1,0,3,0.75,0.75,0.75,0,1
7,4,10.0,1.0799999999999998,0,0,0,0,1,1,0,4,2.25,0.5,0.5,0,0
8,2,3.5999999999999996,10.0,0,0,1,0,0,1,0,2,0.75,2.25,2.25,0,1
9,1,13.35,3.5999999999999996,1,1,0,0,0,1,0,1,0.75,0.5,0.5,1,1
10,3,1.7999999999999998,40.05,0,0,0,1,0,1,0,3,0.5,1.25,1.25,0,0
11,3,3.5999999999999996,1.0799999999999998,0,0,0,1,0,1,0,3,1.25,1.25,1.25,0,0
12,4,1.7999999999999998,1.7999999999999998,1,0,0,0,1,1,0,4,0.75,0.75,0.75,0,0
13,3,5.399999999999999,1.7999999999999998,1,0,0,1,0,1,0,3,1.25,0.5,0.5,0,0
14,1,16.02,0.7199999999999999,0,1,0,0,0,1,0,1,0.75,0.75,0.75,1,0
15,4,53.4,40.05,0,0,0,0,1,1,0,4,5.0,2.75,2.75,0,0
16,3,5.0,1.7999999999999998,1,0,0,1,0,1,0,3,1.75,0.5,0.5,0,1
17,3,39.199999999999996,2.52,1,0,0,1,0,1,0,3,3.75,0.75,0.75,0,0
18,3,1.7999999999999998,58.8,0,0,0,1,0,1,0,3,0.5,4.75,4.75,0,0
19,4,1.7999999999999998,1.7999999999999998,0,0,0,0,1,1,0,4,0.5,1.25,1.25,0,0
20,4,5.399999999999999,1.7999999999999998,0,0,0,0,1,1,0,4,0.75,0.75,0.75,0,0
21,3,33.349999999999994,1.7999999999999998,1,0,0,1,0,1,0,3,1.25,0.5,0.5,0,0
22,3,3.5999999999999996,39.199999999999996,0,0,0,1,0,1,0,3,0.75,1.75,1.75,0,0
23,1,50.025,66.69999999999999,0,1,0,0,0,1,0,1,3.75,4.75,4.75,1,0
24,4,3.5999999999999996,1.7999999999999998,0,0,0,0,1,1,0,4,0.75,0.75,0.75,0,0
25,4,0.7199999999999999,15.0,1,0,0,0,1,1,0,4,0.5,1.75,1.75,0,0
26,3,3.5999999999999996,3.5999999999999996,1,0,0,1,0,1,0,3,0.75,0.75,0.75,0,0
27,3,1.7999999999999998,53.4,0,0,0,1,0,1,0,3,0.75,4.25,4.25,0,0
28,4,0.7199999999999999,1.7999999999999998,1,0,0,0,1,1,0,4,0.5,0.5,0.5,0,1
29,3,3.5999999999999996,3.5999999999999996,1,0,0,1,0,1,0,3,0.5,0.5,0.5,0,0
30,4,5.399999999999999,1.7999999999999998,0,0,0,0,1,1,0,4,1.25,0.5,0.5,0,0
31,3,53.4,3.5999999999999996,0,0,0,1,0,1,0,3,3.25,0.75,0.75,0,0
32,4,3.5999999999999996,3.5999999999999996,1,0,0,0,1,1,0,4,0.75,0.75,0.75,0,1
33,1,8.0,26.7,1,1,0,0,0,1,0,1,1.25,2.75,2.75,1,0
34,3,3.5999999999999996,3.5999999999999996,0,0,0,1,0,1,0,3,0.75,0.5,0.5,0,0
35,3,1.7999999999999998,8.999999999999998,0,0,0,1,0,1,0,3,0.5,1.75,1.75,0,0
36,1,13.35,0.7199999999999999,0,1,0,0,0,1,0,1,2.25,0.5,0.5,1,0
37,4,0.7199999999999999,0.7199999999999999,1,0,0,0,1,1,0,4,0.5,0.5,0.5,0,1
38,3,39.199999999999996,3.5999999999999996,0,0,0,1,0,1,0,3,1.75,0.75,0.75,0,0
39,3,1.7999999999999998,1.7999999999999998,1,0,0,1,0,1,0,3,0.5,0.75,0.75,0,0
40,4,3.5999999999999996,1.7999999999999998,0,0,0,0,1,1,0,4,0.75,0.5,0.5,0,0
41,3,19.599999999999998,3.5999999999999996,1,0,0,1,0,1,0,3,0.5,0.75,0.75,0,1
42,4,1.7999999999999998,3.5999999999999996,0,0,0,0,1,1,0,4,0.5,0.75,0.75,0,0
43,1,7.199999999999999,1.7999999999999998,0,1,0,0,0,1,0,1,2.25,0.5,0.5,1,0
44,3,1.7999999999999998,1.0799999999999998,0,0,0,1,0,1,0,3,0.5,0.5,0.5,0,1
45,4,1.7999999999999998,1.0799999999999998,0,0,0,0,1,1,0,4,0.75,0.5,0.5,0,1
46,3,26.7,1.7999999999999998,1,0,0,1,0,1,0,3,2.75,0.75,0.75,0,1
47,4,1.7999999999999998,5.399999999999999,1,0,0,0,1,1,0,4,0.5,1.75,1.75,0,0
48,4,40.05,1.7999999999999998,0,0,0,0,1,1,0,4,2.75,0.5,0.5,0,0
49,4,19.599999999999998,1.0799999999999998,0,0,0,0,1,1,0,4,1.25,0.5,0.5,0,0
50,4,3.5999999999999996,3.5999999999999996,1,0,0,0,1,1,0,4,0.75,0.75,0.75,0,0
51,2,0.7199999999999999,50.025,0,0,1,0,0,1,0,2,0.5,1.75,1.75,0,0
52,3,3.5999999999999996,53.4,0,0,0,1,0,1,0,3,0.75,2.25,2.25,0,0
53,3,1.7999999999999998,16.674999999999997,1,0,0,1,0,1,0,3,0.5,0.75,0.75,0,0
54,4,5.0,3.5999999999999996,0,0,0,0,1,1,0,4,2.75,2.25,2.25,0,0
55,3,3.5999999999999996,19.599999999999998,1,0,0,1,0,1,0,3,0.75,0.75,0.75,0,1
56,4,1.7999999999999998,0.7199999999999999,0,0,0,0,1,1,0,4,0.5,0.5,0.5,0,0
57,4,50.025,66.69999999999999,1,0,0,0,1,1,0,4,4.25,5.0,5.0,0,0
58,4,3.2399999999999993,0.7199999999999999,1,0,0,0,1,1,0,4,0.5,0.5,0.5,0,1
59,3,5.399999999999999,5.399999999999999,0,0,0,1,0,1,0,3,3.25,1.75,1.75,0,0
60,3,8.999999999999998,5.399999999999999,0,0,0,1,0,1,0,3,1.75,0.75,0.75,0,0
61,2,0.0,39.199999999999996,0,0,1,0,0,1,0,2,0.5,2.25,2.25,0,0
62,4,10.0,1.7999999999999998,0,0,0,0,1,1,0,4,1.75,0.75,0.75,0,0
63,2,3.5999999999999996,1.7999999999999998,1,0,1,0,0,1,0,2,0.75,0.5,0.5,0,1
64,3,0.7199999999999999,10.0,1,0,0,1,0,1,0,3,0.5,1.75,1.75,0,0
65,4,1.7999999999999998,0.35999999999999993,1,0,0,0,1,1,0,4,0.5,0.5,0.5,0,0
66,2,3.5999999999999996,78.39999999999999,1,0,1,0,0,1,0,2,1.25,5.0,5.0,0,0
67,3,3.5999999999999996,3.5999999999999996,0,0,0,1,0,1,0,3,0.75,0.75,0.75,0,0
68,4,39.199999999999996,1.7999999999999998,1,0,0,0,1,1,0,4,3.75,0.5,0.5,0,0
69,4,1.7999999999999998,1.7999999999999998,1,0,0,0,1,1,0,4,0.5,0.5,0.5,0,0
70,3,1.7999999999999998,7.199999999999999,1,0,0,1,0,1,0,3,0.5,3.75,3.75,0,0
71,4,19.599999999999998,0.7199999999999999,1,0,0,0,1,1,0,4,4.75,0.5,0.5,0,0
72,2,5.399999999999999,13.35,0,0,1,0,0,1,0,2,0.75,1.75,1.75,0,0
73,4,53.4,1.4399999999999997,1,0,0,0,1,1,0,4,2.75,2.25,2.25,0,0
74,4,2.1599999999999997,3.5999999999999996,0,0,0,0,1,1,0,4,0.75,0.75,0.75,0,0
75,4,1.7999999999999998,0.7199999999999999,0,0,0,0,1,1,0,4,0.75,0.5,0.5,0,0
76,4,0.7199999999999999,3.5999999999999996,1,0,0,0,1,1,0,4,0.5,0.75,0.75,0,0
77,4,1.7999999999999998,19.599999999999998,0,0,0,0,1,1,0,4,0.5,0.5,0.5,0,0
78,4,40.05,1.4399999999999997,0,0,0,0,1,1,0,4,3.75,0.5,0.5,0,0
79,4,1.7999999999999998,58.8,1,0,0,0,1,1,0,4,0.5,2.75,2.75,0,1
80,4,1.0799999999999998,1.0799999999999998,0,0,0,0,1,1,0,4,0.5,0.5,0.5,0,0
81,2,58.8,7.199999999999999,1,0,1,0,0,1,0,2,2.75,3.75,3.75,0,0
82,3,1.7999999999999998,2.52,0,0,0,1,0,1,0,3,0.5,0.75,0.75,0,0
83,4,2.52,3.5999999999999996,1,0,0,0,1,1,0,4,0.5,0.75,0.75,0,0
84,4,1.7999999999999998,1.7999999999999998,1,0,0,0,1,1,0,4,0.5,0.5,0.5,0,0
85,2,40.05,0.0,0,0,1,0,0,1,0,2,1.25,0.5,0.5,0,0
86,4,3.5999999999999996,5.399999999999999,0,0,0,0,1,1,0,4,0.75,0.75,0.75,0,0
87,3,1.7999999999999998,3.5999999999999996,0,0,0,1,0,1,0,3,0.5,0.75,0.75,0,0
88,4,40.05,40.05,1,0,0,0,1,1,0,4,5.0,5.0,5.0,0,0
89,4,32.04,13.35,0,0,0,0,1,1,0,4,2.75,3.25,3.25,0,1
90,3,40.05,3.5999999999999996,1,0,0,1,0,1,0,3,4.25,0.5,0.5,0,0
91,4,5.0,20.0,0,0,0,0,1,1,0,4,1.75,5.0,5.0,0,0
92,3,1.7999999999999998,3.5999999999999996,1,0,0,1,0,1,0,3,0.5,0.75,0.75,0,0
93,2,1.7999999999999998,26.7,1,0,1,0,0,1,0,2,0.5,1.75,1.75,0,0
94,3,3.5999999999999996,1.7999999999999998,0,0,0,1,0,1,0,3,0.75,0.5,0.5,0,0
95,3,26.7,3.5999999999999996,1,0,0,1,0,1,0,3,2.25,0.75,0.75,0,0
96,3,3.5999999999999996,4.319999999999999,0,0,0,1,0,1,0,3,0.75,0.75,0.75,0,0
97,3,3.5999999999999996,53.4,0,0,0,1,0,1,0,3,0.75,1.75,1.75,0,0
98,4,3.5999999999999996,1.7999999999999998,1,0,0,0,1,1,0,4,0.75,0.5,0.5,0,0
99,4,1.7999999999999998,33.349999999999994,0,0,0,0,1,1,0,4,0.75,2.75,2.75,0,0
100,4,1.7999999999999998,3.5999999999999996,1,0,0,0,1,1,0,4,0.5,0.75,0.75,0,1
101,1,23.520000000000003,0.7199999999999999,1,1,0,0,0,1,0,1,1.25,0.5,0.5,1,0
102,2,3.5999999999999996,3.5999999999999996,1,0,1,0,0,1,0,2,1.75,1.25,1.25,0,0
103,4,5.399999999999999,7.199999999999999,0,0,0,0,1,1,0,4,0.75,0.75,0.75,0,0
