ID,O_LEVEL,OM_LEVEL,A_LEVEL_DIFF,A_SLOPE_TYPE,DM_LEVEL,D_LEVEL,E_LEVEL_DIFF,E_SLOPE_TYPE,M_ORIGIN,M_DESTINATION,D_LANDMARK,D_LAT,D_LONG,E_DISTANCE_MAP,E_TIME_MAP,D_TYPE,O_LANDMARK,O_LAT,O_LONG,A_DISTANCE_MAP,A_TIME_MAP,O_TYPE,START_TIME,TRIP_SEQUENCE,TOTAL_TIME,ACCESS_MODE,ACCESS_TIME,ACCESS_DISTANCE,WT_FS,EGRESS_MODE,EGRESS_TIME,EGRESS_DISTANCE,WT_FIS,BICYCLE_USE,TRANSFER_TIME,WAITING_TIME_SECOND_STOP,PASS,TOTAL_COST,CROWDING,GENDER,S_1,S_2,S_3,AGE,EDUCATION,OCCUPATION,INCOME,CARS,TWO_WHEELER,N_BICYCLES,OTHERS,PARKING,PARK_RENT,PARK,DESTINATION,ORIGIN,TRIP,AGE_C,ACCESS_DIS,EGRESS_DIS,RENT_BICYCLE,MALE,ACCESS_M,EGRESS_M,ACCESS_DIS_B,EGRESS_DIS_B,VEHICLE
1,912,925,12,almost flat,886,916,-30,not defined,Rajajinagar (green line),Nagasandra (green line),"Buddha Jyothi layout,vrushabha marketing mall",13.00938961,77.4975765,6.6,24,Home,"Rajajinagar,1st N block,sardar Patel high school ",13.00404571,77.55255118,0.65,9,Home,10:10:00,Metro ,35,Walk ,10,0.5 to 1 km ,2,Auto Rickshaw ,10,1.5 km to 2 km ,5,For neither access nor egress trips ,,,Metro card ,60,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,,Metro ,> 60 yrs ,Postgraduate,Unemployed,>2 Lakhs,1,1,2,0,0,10,-1,1,1,1,5,2,4,4,1,1,5,2,3,1
4,806,812,6,mostly flat,924,924,0,flat,Rajarajeshwari Nagar (purple line),Mahatma Gandhi Road (purple line),"Mg,road,chruch street",12.97456233,77.60775555,0.13,2,Shopping,"Rr nagar,gopalan mall",12.9359948,77.5177807,0.29,5,Home,10:15:00,Metro ,25,Walk ,5,< 0.5 km ,2,Walk ,2,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Postgraduate,Employed,,1,1,0,0,0,10,-1,4,1,1,1,1,1,4,0,1,1,1,1,1
5,911,928,17,mostly flat,921,909,12,mostly flat,Rashtreeya Vidyalaya Road (green line),Trinity (purple line),Trinity commercial street,12.98201648,77.60958733,1.7,8,Shopping,BTM layout grand wedding biryani,12.91638528,77.61068858,3.8,14,Other,10:00:00,Metro ,90,Auto Rickshaw ,15,2.5 km to 3 km ,5,Auto Rickshaw ,10,2 km to 2.5 km ,4,For neither access nor egress trips ,,,No ,180,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Employed,>2 Lakhs,0,0,0,0,0,10,-1,4,8,1,1,6,5,4,0,5,5,4,4,0
8,879,925,46,mostly flat,924,921,-3,flat,Mahalakshmi (green line),Mahatma Gandhi Road (purple line),"Mg road,chruch street ,ameoba",12.97473618,77.60491032,0.16,2,Shopping,"Mahalaxmi,nandini layout ",13.01366558,77.53393585,3,9,Home,10:30:00,Metro ,30,Dropped-off by friends/others ,10,2 km to 2.5 km ,5,Walk ,3,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Student,,1,2,0,0,0,10,-1,4,1,1,1,5,1,4,0,8,1,4,1,1
10,923,895,-28,mixed,930,919,-11,mostly flat,Jalahalli (green line),Jayanagar (green line),"Jayanagar,4th block, Starbucks ",12.92478567,77.58388821,0.9,12,Work,"Peenya 2nd stage,anupama school ",13.01036892,77.49465303,5.9,19,Home,10:45:00,Bus + Metro ,75,Auto Rickshaw ,5,0.5 to 1 km ,1,Walk ,10,< 0.5 km ,,For access trip only ,5,6,Ordinary Monthly Pass ,50,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,,Bus and Metro ,18-25 yrs ,Graduate,Employed,"50,001 – 1,00,000",0,1,0,0,0,10,-1,2,1,2,1,2,1,1,1,5,1,2,1,1
12,922,919,3,flat,926,916,-10,mostly flat,Peenya (green line),Cubbon Park (purple line),"Cubbon park, museum of art and photography ",12.97483706,77.59694617,0.8,11,Shopping,"Yeshwantpur,HMT road",13.04267983,77.53946208,1.7,17,Home,10:40:00,Metro ,50,Walk ,10,1 km to 1.5 km ,2,Walk ,3,1 km to 1.5 km ,,For both access and egress trips ,,,No ,35,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,26-35 yrs ,Postgraduate,Student,>2 Lakhs,1,1,2,0,0,10,-1,4,1,1,2,3,3,3,0,1,1,3,3,1
16,929,923,-6,mostly flat,924,922,-2,flat,Jayanagar (green line),Mahatma Gandhi Road (purple line),"Mg road, chruch st",12.97433577,77.60771133,0.3,5,Shopping,Jayanagar kr road ,12.94300804,77.57389923,1.8,25,Home,10:30:00,Metro ,25,Auto Rickshaw ,6,0.5 to 1 km ,0,Walk ,2,0.5 to 1 km ,,For access trip only ,,,Metro card ,29,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Student,,0,1,0,0,0,10,-1,4,1,1,1,2,2,1,0,5,1,2,2,1
17,910,904,-6,flat,898,929,31,parabola ,Konanakunte Cross (green line),Baiyappanahalli (purple line),Byappanahalli banaswadi anmaneya temple,13.01429091,77.65614768,4,15,Social,Konankunte prestige falcon city,12.88532638,77.56336369,0.8,4,Home,10:30:00,Metro ,50,Auto Rickshaw ,20,> 5 km ,5,Auto Rickshaw ,15,2.5 km to 3 km ,5,For neither access nor egress trips ,,,No ,160,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,> 60 yrs ,Doctorate,Unemployed,,1,0,0,0,0,10,-1,6,1,1,5,11,6,4,0,5,5,5,4,1
18,897,897,0,flat,911,902,-9,rise up,Nagasandra (green line),Chickpet (green line),"NT Pete, kodanda Rama swamy temple near",12.96908682,77.56985265,0.6,9,Work,"Madanayakanahalli, kudurigere colony ",13.06812554,77.47719788,5.5,12,Work,11:00:00,Metro ,30,Dropped-off by friends/others ,5,1.5 km to 2 km ,1,Walk ,5,< 0.5 km ,,For both access and egress trips ,,,No ,40,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,,Metro ,26-35 yrs ,10th,Employed,"50,001 – 1,00,000",0,2,0,0,0,10,-1,2,2,1,2,4,1,3,1,8,1,3,1,1
19,928,880,-48,parabola ,935,915,-20,parabola ,Rashtreeya Vidyalaya Road (green line),Mahalakshmi (green line),Iskon temple rajajinagar,13.01034293,77.55108922,0.6,9,Social,Silk board bus stop,12.9197298,77.62234907,5.2,12,Shopping,10:30:00,Metro ,70,Two-Wheeler ,10,3.5 km to 4 km ,5,Walk ,7,0.5 to 1 km ,,For both access and egress trips ,,,Metro card ,0,No crowding  - Most ,Male,,,Metro ,18-25 yrs ,Graduate,Employed,"1,00,001 – 2,00,000",0,1,0,0,0,10,-1,6,4,1,1,8,2,3,1,3,1,4,2,1
