,M_ORIGIN,M_DESTINATION,D_LANDMARK,D_TYPE,O_LANDMARK,O_TYPE,START_TIME,TRIP_SEQUENCE,TOTAL_TIME,ACCESS_MODE,ACCESS_TIME,ACCESS_DISTANCE,WT_FS,EGRESS_MODE,EGRESS_TIME,EGRESS_DISTANCE,WT_FIS,BICYCLE_USE,TRANSFER_TIME,WAITING_TIME_SECOND_STOP,PASS,TOTAL_COST,CROWDING,GENDER,S_1,S_2,S_3,AGE,EDUCATION,OCCUPATION,INCOME,CARS,TWO_WHEELER,N_BICYCLES,OTHERS,PARKING,RENT,PARK,DESTINATION,ORIGIN,TRIP,AGE_C,ACCESS_DIS,EGRESS_DIS,RENT_BICYCLE,MALE,ACCESS_M,EGRESS_M
0,Mantri Square Sampige Road (green line),Krantivira Sangolli Rayanna Railway Station (purple line),"Beni mill, near 500m from krantiveerasangoli rayanna metro station ",Work,"Sampige theater , near mantri Square ",Home,08:30:00,Metro ,30,Walk ,3,< 0.5 km ,5,Walk ,5,0.5 to 1 km ,,For neither access nor egress trips ,,,No ,15,No crowding  - 50-75% of seats occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,36-45 yrs ,10th,Employed,,1.0,1,0,0,"No, I will not use a bicycle. .",15,3,2,1,1,3,1,3,1,1,1,1
1,Srirampura (green line),Kengeri (purple line),Surana collage ,School,"Srirampura, bendireddy circle ",Home,08:20:00,Metro + Bus ,45,Dropped-off by friends/family members/others ,6,1.5 km to 2 km ,5,Walk ,2,< 0.5 km ,,For neither access nor egress trips ,3,2,Metro card ,0,No crowding  - Most ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Postgraduate,Student,,1.0,2,1,0,"No, I will not use a bicycle. .",15,3,3,1,3,1,2,1,1,0,8,1
2,Krantivira Sangolli Rayanna Railway Station (purple line),Vijayanagar (purple line),"Near water tank , Vijaynagar",Friend,Majestic railway station ,Shopping,08:45:00,Metro ,35,Walk ,5,0.5 to 1 km ,3,Walk ,8,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - 25-50% of seats occupied ,Male,,I will use same mode as reported for this trip ,I was not making this trip earlier ,26-35 yrs ,Graduate,Employed,"50,001 – 1,00,000",0.0,0,0,0,Not Applicable - because neither ends of my trip is home. .,15,4,7,4,1,2,3,3,1,1,1,1
3,Mantri Square Sampige Road (green line),Kengeri Bus Terminal (purple line),Wonder la amusement park ,Social,8th cross malleswaram,Home,08:30:00,Metro + Bus ,120,Walk ,18,1.5 km to 2 km ,1,Walk ,5,0.5 to 1 km ,,For access trip only ,2,7,No ,77,No crowding  - 50-75% of seats occupied ,Female,Not eligible ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,"25,001 – 50,000",0.0,0,0,0,"No, I will not use a bicycle. .",15,3,6,1,3,1,2,3,2,0,1,1
4,Chickpet (green line),Mahalakshmi (green line),Geleyara balaga ,Home,Flower market ,Shopping,09:10:00,Metro ,30,Walk ,7,0.5 to 1 km ,5,Auto Rickshaw ,7,1.5 km to 2 km ,3,For neither access nor egress trips ,,,Metro card ,30,High crowding - All seats AND 50-75% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,46-60 yrs ,10th,Daily,,0.0,1,0,0,"No, I will not use a bicycle. .",15,3,1,4,1,4,3,2,1,0,1,5
5,Chickpet (green line),National College (green line),Sagarchandrama hospital ,School,Cotton pete,Home,09:00:00,Metro ,30,Walk ,15,0.5 to 1 km ,5,Walk ,3,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Trade,Student,,0.0,1,0,0,"No, I will not use a bicycle. .",15,3,3,1,1,1,3,1,1,0,1,1
6,Chickpet (green line),Nagasandra (green line),Nelamangla town police station ,Home,Chikpete flower market  ,Shopping,09:30:00,Metro ,60,Walk ,10,0.5 to 1 km ,5,Drove and parked a two-Wheeler ,30,> 5 km ,,For neither access nor egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Trade,Business,,0.0,2,0,0,"No, I will not use a bicycle. .",15,3,1,4,1,2,3,8,1,0,1,3
7,Chickpet (green line),Rajajinagar (green line),"Rajajinagar,near navrang theatre ",School,"Chickpete,kr market mosque",Home,09:30:00,Metro ,30,Walk ,6,< 0.5 km ,5,Walk ,6,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,1.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",15,2,3,1,1,1,1,1,1,0,1,1
8,Kengeri (purple line),Baiyappanahalli (purple line),"Whitefield, primico union city",Work,Sun city main road kengeri,Home,09:30:00,Metro ,120,Drove and parked a two-Wheeler ,5,0.5 to 1 km ,8,Office cab,45,> 5 km ,8,For access trip only ,,,Metro card ,0,No crowding  - 50-75% of seats occupied ,Male,,I will use same mode as reported for this trip ,I was not making this trip earlier ,26-35 yrs ,Graduate,Employed,"50,001 – 1,00,000",0.0,1,0,0,"No, I will not use a bicycle. .",15,3,2,1,1,2,3,8,2,1,3,10
9,Kengeri Bus Terminal (purple line),National College (green line),"Basavangudi main road,  near gandhi bazar, near metro station ",Friend,"Kengeri, near railway station upa nagar",Home,09:30:00,Metro ,60,Walk ,15,1 km to 1.5 km ,6,Bicycle ,10,0.5 to 1 km ,,For both access and egress trips ,,,Metro card ,0,No crowding  - 25-50% of seats occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Postgraduate,Employed,,0.0,0,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",15,1,7,1,1,2,4,3,3,0,1,2
